arm,seed,target_start,target_stop_exclusive,nll
rope,123,1,16,4.275465174533367
rope,123,16,32,3.6343584580252113
rope,123,32,64,3.433271457761601
rope,123,64,128,3.300344961737456
rope,123,128,256,3.2302336586646527
rope,123,256,512,3.181868137124327
rope,123,512,1024,3.1437117384214237
rope,456,1,16,4.266465557062219
rope,456,16,32,3.6360818544558415
rope,456,32,64,3.4353613280067945
rope,456,64,128,3.2951737474347023
rope,456,128,256,3.224369268261615
rope,456,256,512,3.1725394360054184
rope,456,512,1024,3.1350781262378886
rope,789,1,16,4.275252032994231
rope,789,16,32,3.63974307005992
rope,789,32,64,3.4456182166541938
rope,789,64,128,3.3034981298398955
rope,789,128,256,3.2366465162049214
rope,789,256,512,3.1854867537531515
rope,789,512,1024,3.1483969576261868
scalar-qkpre,123,1,16,4.245749269253209
scalar-qkpre,123,16,32,3.595865483137467
scalar-qkpre,123,32,64,3.402705883771942
scalar-qkpre,123,64,128,3.2651824425649103
scalar-qkpre,123,128,256,3.1941274750739614
scalar-qkpre,123,256,512,3.1434858035840443
scalar-qkpre,123,512,1024,3.105256032043939
scalar-qkpre,456,1,16,4.254221227554016
scalar-qkpre,456,16,32,3.598734987285733
scalar-qkpre,456,32,64,3.4031481081715067
scalar-qkpre,456,64,128,3.2634844498014193
scalar-qkpre,456,128,256,3.190428543236612
scalar-qkpre,456,256,512,3.1393805147760747
scalar-qkpre,456,512,1024,3.100393117824145
scalar-qkpre,789,1,16,4.255230745507042
scalar-qkpre,789,16,32,3.6018082009372003
scalar-qkpre,789,32,64,3.411365162599735
scalar-qkpre,789,64,128,3.2656779672665937
scalar-qkpre,789,128,256,3.1992316791616333
scalar-qkpre,789,256,512,3.148276409989252
scalar-qkpre,789,512,1024,3.1076748592614396
qk-readout-r32,123,1,16,4.23991199815386
qk-readout-r32,123,16,32,3.596572250394045
qk-readout-r32,123,32,64,3.3935119314844986
qk-readout-r32,123,64,128,3.2511706935693927
qk-readout-r32,123,128,256,3.1830822068238147
qk-readout-r32,123,256,512,3.132169556322364
qk-readout-r32,123,512,1024,3.095783331595505
qk-readout-r32,456,1,16,4.244597837606421
qk-readout-r32,456,16,32,3.59013331982445
qk-readout-r32,456,32,64,3.399555975761456
qk-readout-r32,456,64,128,3.256283675863631
qk-readout-r32,456,128,256,3.187307304429041
qk-readout-r32,456,256,512,3.1322420264242847
qk-readout-r32,456,512,1024,3.0941226804046975
qk-readout-r32,789,1,16,4.244972423776867
qk-readout-r32,789,16,32,3.598055894694626
qk-readout-r32,789,32,64,3.396864476362261
qk-readout-r32,789,64,128,3.251409923002225
qk-readout-r32,789,128,256,3.188691535775935
qk-readout-r32,789,256,512,3.1373543637046235
qk-readout-r32,789,512,1024,3.096924165750792
